TeamKey,TeamImage
c__team__91yc__76144,neaUi9RM1821086960786214923.png
a-rz--cricket--ac-B6PX,exuwko1d1821086056834011141.png
c__team__acb__01749,ZYXwLsIy1804797930394226690.png
c__team__act__514fc,pFRMSFN71837453787439173640.png
a-rz--cricket--ahww-1U8S,am6v4i0Q1798299886010109954.png
c__team__auswu19__464ba,pqw2FS3i1834925223804276737.png
c__team__bac__24211,3PLhICRQ1804797459298390018.png
a-rz--cricket--baha-aAhK,1bg3OngH1899716864490213378.jpeg
c__team__baw__422d3,K0bUdw6n1864155236436938753.jpeg
a-rz--cricket--bcc-kavu,Uu3FRueu1821086647878553601.png
c__team__bcg__dfca7,UtIQbcvR1804797674604597249.png
c__team__bdm__af252,llbVwo4J1821086736848130058.png
c__team__bipw__e1ec5,YPYgiZE51800904936800784387.png
c__team__bk__14525,pOL3Lk4M1811800318757965825.png
c__team__bld__3be73,fmBDg2Jp1808387614152200193.png
bnb,NFhkWjBG1829509855573053441.png
c__team__bnt__31ada,of3hiZ021854427170915618817.png
c__team__bpbs__51b7c,hWRlOMXB1811803996474707969.png
c__team__btz__31366,3TjpTgop1804798601117962246.png
c__team__bul__b1657,lcai1YCb1821101046584446988.png
a-rz--cricket--bz-d2X7,xLC7yY371811799726169919489.png
c__team__cbcc__e9abb,IQgxj31F1811803882335113221.png
a-rz--cricket--ccc-lDvN,bzBNRsBd1821085865775075332.png
c__team__clj__35262,EsKQibwJ1804798888369065991.png
c__team__crd__91c43,miiNRvHy1864154562865270787.jpeg
c__team__cro__0e4ac,6Sw6VCXK1864169080911695874.jpeg
c__team__db__3db82,9035lNTz1854428131717419018.png
c__team__den__b2c05,mbOxHJ661837448298080899075.png
c__team__dg__e28b0,vr9iIEd61854427382178516999.png
a-rz--cricket--dk-Y6y5,sXdonXdQ1811800442309578754.png
c__team__ducc__d686c,Tr9JArU11811804569781538822.png
adsw,fastrikejxim4r.png
ausw,faustrafrjod4.png
banw,fbanglaphzitl.png
barw,fbarbadcacbwr.png
bhw,fbheat2mltfc.png
btnw,fbhutan9pdzqy.png
c__team__brw__a9e8e,fbroyals4oscbd.png
c__team__dcw__5bd62,fdcapitampdnid.png
engw,fenglanzgtdms.png
c__team__gaww__3cd41,fgawarrio2hlslo.png
c__team__ggw__518ce,fggiantsqsujqz.png
hbhw,fhhurrictjejdf.png
hkgw,fhkongpy7w5f.png
indw,findiavlaxld.png
irew,firelanxj9pyn.png
ll,ll.png
c__team__malw__02c45,fmalaysbklsct.png
c__team__miw__37fe2,fmindianeq3wow.png
mlrw,fmrenegaaiemc9.png
mlsw,fmstarsryksrt.png
nepw,fnepal2sssf8.png
nlw,fnetherkild5a.png
nzw,fnzealannfgw5n.png
pakw,fpakistvmddkv.png
perw,fpscorchqvckpu.png
qtrw,X8NL5a6C1837448379303596034.png
c__team__rcbw__878bd,frcbangal7jws1v.jpg
rsaw,fsafricablwkep.png
slw,fslankafifow1.png
sydw,fssixersmtlhva.png
sytw,fsthundekb3cql.png
snv,fsupernzzpkho.png
c__team__sv__ca277,fsvipersmjsee4.png
c__team__thaw__601c7,fthaila0fvpgl.png
c__team__tkrw__31834,ftkridersemrwxd.png
tbz,ftrailbvnyt2p.png
c__team__uaew__67faf,fuaemiratlt7a4a.png
c__team__upww__d527d,fuwarrio0nholh.png
vly,fvelociy47skh.png
wiw,fwindies8rkcxn.png
c__team__ws__7c364,fwstorm1rz7dn.png
zimw,fzimbabsriqto.png
gbm,rh3jx7pE1829509975890857985.png
c__team__gbt__1da71,GHW83fOq1821101265250291725.png
c__team__grtg__408b0,VDN6la7r1723410790939234305.png
a-rz--cricket--gtc-LOkf,9YFNhuwY1821086278293262343.png
a-rz--cricket--hdw-PSoz,eQTJTjbW1798299010990215169.png
c__team__imhw__24566,Gbmk3ZbN1801639456663539713.png
c__team__irr__f2bbe,I8tcdZ7Y1864154413380276226.jpeg
c__team__isl__9fb73,LtZZKsTm1801230301695971329.png
c__team__jer__2ab00,iFG0ScYJ1837448062780444673.png
a-rz--cricket--jz-9d6M,4nylRbcL1818530229476528129.png
a-rz--cricket--kb-83wL,iH42k37F1811803589383950340.png
ken,kFajsSzc1837448008329990146.png
c__team__kwt__0ad0b,OrfATWuE1822318922398044164.png
a-rz--cricket--ll-pl4E,rNMYOleh1818530529335709699.png
a-rz--cricket--lsc-B86F,Uc1svO0B1821086493020655625.png
a-rz--cricket--lsktw-aOd4,q2Cg0oT21798300066142883843.png
c__team__lsw__5c3c2,FOtHrPlL1800904394414362630.png
aa,maaces5rhkwo.png
c__team__adkr__8e190,madkridersvrsw2x.png
afg,mafghanvdek0f.png
ah,mahawksbg3kh4q.jpg
c__team__ads__2fa44,mastrikepbif8l.png
aus,maustrawnqdov.png
ban,mbanglaefrnrq.png
wrw,mbbearsvzufxk.png
bbs,mbbulls8lqxj9.png
bh,mbheatpg9sbl.png
bls,mblegend8umgd9.png
br,mbroyalstbe1yf.png
bt,bt.png
cob,mccobrasfmwlet.png
ck,mckingsxovkop.png
csk,mcskingssjul8h.png
cs,mcstagstem1q1.png
c__team__cls__dd70b,mcstarsnvyvxh.png
ctb,mctblitzc0ux4p.png
c__team__cmv__c298f,mcvictoryzinhe.png
cgv,mcvikingz69gv3.png
c__team__dhg__e927a,mdauratjv3wk.png
c__team__dbc__c35bb,mdcapitaixucxi.jpg
dc,mdcapitarftuyx.png
a-rz--cricket--mdchargepaqiqd,mdchargepaqiqd.jpg
der,mderbys7bgztj.png
dbh,mdheatfadv0b.png
dol,mdolphiqdy1pi.png
dap,mdplatoogftaiv.png
c__team__dsg__ad6e0,mdsgiants9yzowa.png
dur,mdurhamzetvln.png
c__team__dv__bc00f,mdvipersnkrja5.jpg
eng,menglannx4qzo.png
ess,messexqyidv3.png
c__team__fba__f0677,mfbarisheceuh9.png
gaw,mgawarrioedhrda.png
c__team__germany__adea7,mgermans7o0u3.png
c__team__ggt__e670e,mggiantsqzrxzt.jpg
c__team__ggd__ebca2,mggladiaa9lcwq.png
gla,mglamorwaqi7o.png
gl,mglionswmuuhc.png
glo,mgloucedbqyyp.png
gt,mgtitansbl4uk6.png
ham,mhampsh89cwjh.png
hbh,mhhurricile16m.png
hkg,mhkongspdaer.png
ind,mindialf3lb7.png
ire,mirelanapphny.png
c__team__italy__7a39e,mitalykrojnk.png
c__team__iu__04223,miunitedgv2ibv.png
c__team__jsk__0e017,mjkings2718ij.png
c__team__jsks__35003,mjskings3rblwg.png
jzs,mjstarseispmu.png
jt,mjtallawrtmf7i.png
kent,mkentwupfel.png
c__team__kdw__8a613,v0PKdPNI1807358677770964993.png
kk,mkkingszkfjfc.png
kks,mkknight2r0how.png
kkr,mkkridersnsovcc.png
c__team__kn__274f8,mknight4pqdep.png
c__team__knt__9d5c3,mktigersby7f76.png
a-rz--cricket--mkw-RpsA,NCjcp0R41798299595118350337.png
kdw,mkwarriocby19h.png
kbz,mkzwanankwnu1g.png
lan,mlancas5tdctj.png
lei,mleices0bff1n.png
c__team__lis__52834,mlionsxyuel6.jpg
c__team__lq__2b1b7,mlqalandxfehol.png
lsg,mlsgiantsnmjqww.png
mal,mmalayshpuehq.png
c__team__mct__41253,mmctownwpurhk.png
c__team__mie__224f8,mmemiratyrgcni.png
mid,mmiddle8xweo1.png
mi,mmindianlkksck.png
c__team__mlr__3d0ab,mmrenega0tefhk.png
c__team__mls__9d85c,mmstarsbzhyed.png
c__team__ms__a0862,mmsultanqxufsu.png
nam,mnamibinmjpxe.png
nk,mndistrirrkjir.png
nep,mnepaldgmepn.png
nl,mnetherfcej6b.png
nls,mnleopargp555e.png
nmbg,mnmbgiantssmluh5.png
nor,mnorthalqv38g.png
not,mnottinsdn84x.png
nwest,mnwest6vyoly.png
nz,mnzealanpwezly.png
oma,momanlayspp.png
ov,movolts2wnrxm.png
c__team__mow__feb53,4I4MNK5E1800904605425602568.png
pak,mpakist0t5r7q.png
c__team__pc__065d0,mpcapitazornvx.jpg
pbks,mpkingsyexlu7.png
png,mpnguinea8x71vp.png
pkr,mppanthevmquam.png
plr,mprocksqyqn65.png
c__team__pr__0fa7c,mproyals3d1es0.jpg
per,mpscorchnxngdb.png
a-rz--cricket--mpwarrioan9ttx,mpwarrioan9ttx.png
c__team__pz__d1510,mpzalmistl2mz.png
c__team__qg__17863,mqgladiagewqis.png
rcb,mrcbangalzb79yt.png
rs,mrocksevbqhi.png
rps,mrpsupergosp8m7.png
rpr,mrranger82weis.png
rr,mrroyalshttuah.png
c__team__msa__a1186,fSX2h93R1854426864727232518.jpeg
rsa,msafricac4ivno.png
sct,mscotlavcagoe.png
c__team__sec__95358,msecape8lafzs.png
srh,mshydera3e2d4n.png
sing,msingapc3miks.png
snp,mskanpatriovj3kzu.png
sl,mslankaik60q4.png
sls,mslkingsgpytgn.png
som,msomersobgylu.png
spn,mspaintiqdwb.png
syd,mssixerswywfox.png
sts,mssunrisy28wtf.png
c__team__syt__e2203,msthundegeddr7.png
sur,msurreyv09dg0.png
sus,msussexdvtxth.png
c__team__sw__05d23,mswarriojbpojk.png
ttn,mtitansb5vkrk.png
tws,mtspartaf8wtpp.png
ttr,mttrsteelqhrdbm.png
uae,muaemiratnqdbay.png
c__team__usa__6b3ad,musoamericbhiva5.png
c__team__war__ceef8,mwarrio6hpf3o.png
wf,mwfirebiyobeeu.png
wi,mwindiesxv8aqd.png
wor,mworces3cuaar.png
wpr,mwprovingxvr9k.png
yor,myorksh8sqk79.png
zim,mzimbab1swzwa.png
c__team__nosw__40ef0,V0sntIIk1800904737860751369.png
c__team__nrw__59a51,srp20W2w1854427940641705993.jpeg
c__team__nsb__7dea7,nELoTJgC1837453537836142595.png
c__team__nys__69ab5,E69mAQXM1854428376195010571.png
c__team__nzw19__6ec34,5gctnp6j1834925378951581698.png
c__team__oiw__c9ca3,BZergfAG1800903891240488962.svg
c__team__pbc__dd898,TBNIdo4y1808388197659578369.png
c__team__pgl__dc6dc,oJ0shuA81727579908781248515.png
c__team__pngw__89f95,4HBGSaTS1821760409322000398.png
c__team__qar__ed86a,ZlonaKKR1837448351143038980.png
c__team__qlf__bf16f,jxRYxWVk1837453409184256001.png
c__team__re__de32e,F2ymxBVH1811803340686888963.png
a-rz--cricket--rmww-AkXU,1Q63WvD11798300916374441988.png
c__team__rom__42665,Ux7c6SiZ1727580202965536769.png
c__team__rot__783e9,aonqKMfp1811799918726221826.png
a-rz--cricket--rrc-iLFY,2iFQctWY1821086395435978760.png
c__team__sas__64140,F2X6mX6b1837453675962961927.png
c__team__sbw__42247,6YVW4N1o1800904064108728325.svg
c__team__scotland_women__87944,IOFqQFxk1837437744310259713.png
a-rz--cricket--sgc-SMMc,0x5xtfez1821086150731894790.png
c__team__slwu19__da1c9,AQBH2PsJ1834925542386831361.png
c__team__sok__26901,UF0P9CJb1808388296435437570.png
c__team__spn__fece4,edqr3jFG1727578296796975105.png
c__team__sps__b693c,LYDJjY9S1808387726664404994.png
c__team__srb__f48ef,7mM5pV1z1821101128331431938.png
a-rz--cricket--srtw-3yb2,Txl6Y4WO1798299412330582018.png
a-rz--cricket--ssmw-h70R,dpuKrKDO1798300681103347715.png
c__team__sss__e58c5,8YHUDKw41864154235650838530.jpeg
a-rz--cricket--sssw-jW0M,ZNzWUcj01798298609620488193.png
a-rz--cricket--tad-MS3P,sQWV1aHS1854414311737397252.jpeg
c__team__taw__65f79,d3SfQPdo1837453165356781574.png
c__team__tcb__d9498,uShU62h91854427662492241928.jpeg
c__team__tgs__fd61a,kerKUtDs1864154670197510147.jpeg
c__team__trw__77ea5,LJT64DqS1800904827962789890.png
c__team__tsa__3b005,2caLw0D01804798066767826948.png
c__team__uccb__88f1d,ach5wubZ1804799001887903752.png
a-rz--cricket--un-nMA2,GG9AdRZo1854426365164654593.jpeg
c__team__uncd__1fabc,b6xeWqqi1811804749138366471.png
c__team__vaw__6f1fb,PNyz85bz1837453957933436929.png
c__team__vh__9a002,R69k4tqJ1864155007897702401.jpeg
c__team__waw__e3d9f,pJjPgu1a1837452957549989893.png
c__team__wfw__f93ef,0fMgO9w41800904517223583751.png
c__team__zic__3ed43,56VVCG6X1804797855681089539.png
